_id,asmGrd,asmGrdNm,asmNm,yadmNm,ykiho
65f10f5db5a3f17e1ea366ec,2,2회연속,천식,우리내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQwMyQzNjE0ODEjODEjJDEjJDYjJDgz
65f10f5db5a3f17e1ea366ed,3,3회연속,고혈압,상동서울가정의학과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ3MiQyNjE4MzIjNTEjJDEjJDIjJDgz
65f10f5db5a3f17e1ea366ee,1,최근우수,천식,상동서울가정의학과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ3MiQyNjE4MzIjNTEjJDEjJDIjJDgz
65f10f5db5a3f17e1ea366ef,3,3회연속,당뇨병,인사랑내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ3OSQyNjEwMDIjNDEjJDEjJDQjJDgz
65f10f5db5a3f17e1ea366f0,3,3회연속,고혈압,인사랑내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ3OSQyNjEwMDIjNDEjJDEjJDQjJDgz
65f10f5db5a3f17e1ea366f1,2,2회연속,고혈압,더베스트내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ3OSQzNjE0ODEjNjEjJDEjJDAjJDgz
65f10f5db5a3f17e1ea366f2,3,3회연속,천식,더베스트내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ3OSQzNjE0ODEjNjEjJDEjJDAjJDgz
65f10f5db5a3f17e1ea366f3,3,3회연속,고혈압,서울본의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz
65f10f5db5a3f17e1ea366f4,3,3회연속,고혈압,정준근내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ3OSQzNjEyMjIjNDEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366f5,3,3회연속,천식,정준근내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ3OSQzNjEyMjIjNDEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366f6,1,최근우수,당뇨병,정준근내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ3OSQzNjEyMjIjNDEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366f7,2,2회연속,고혈압,연세제일내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ4OSQyNjEwMDIjNzEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366f8,2,2회연속,천식,연세제일내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ4OSQyNjEwMDIjNzEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366f9,3,3회연속,고혈압,우리들내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ4OSQyNjEyMjIjNjEjJDEjJDQjJDgz
65f10f5db5a3f17e1ea366fa,3,3회연속,당뇨병,우리들내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ4OSQyNjEyMjIjNjEjJDEjJDQjJDgz
65f10f5db5a3f17e1ea366fb,3,3회연속,고혈압,메디웰아주내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ4OSQzNjE0ODEjNDEjJDEjJDgjJDgz
